Time,Temperature,Weight,Balance_Flow,Sample_Flow
1.125000,21.71317,7.872907,40.01090,59.99800
1.141666,21.74640,7.872670,39.99350,60.00881
1.158333,21.78255,7.872415,39.99995,60.01108
1.175000,21.81827,7.872153,39.99743,59.98574
1.191667,21.85166,7.871800,40.00825,59.99568
1.208334,21.88616,7.871280,39.98578,59.99432
1.225000,21.92038,7.871232,40.00730,60.00239
1.241667,21.95168,7.870609,40.00752,59.99789
1.258333,21.98684,7.870169,39.98870,59.98652
1.275000,22.02005,7.869834,39.99814,60.00762
1.291666,22.05368,7.869528,40.01050,59.99617
1.308333,22.08669,7.868845,39.99564,59.99319
1.325000,22.11960,7.868558,40.00039,60.00964
1.341667,22.15375,7.868224,40.00306,59.99738
1.358334,22.18672,7.867922,39.99146,59.99629
1.375000,22.21993,7.867564,39.99878,60.01194
1.391666,22.25621,7.867109,40.01358,59.99412
1.408333,22.28817,7.866540,39.99555,60.00698
1.425000,22.32319,7.866202,39.99402,60.01641
1.441667,22.35534,7.865932,40.00398,59.99756
1.458334,22.38732,7.865780,40.00684,60.00728
1.475000,22.41938,7.865342,39.98926,60.00130
1.491667,22.45402,7.864822,40.00600,59.98896
1.508333,22.48842,7.864560,40.00023,59.99649
1.525000,22.51952,7.863989,39.99750,59.99700
1.541666,22.55446,7.863589,39.99965,60.00082
1.558333,22.58492,7.863136,39.99826,59.99672
1.575000,22.61709,7.862946,39.99290,59.98789
1.591667,22.65103,7.862466,39.99988,60.00665
1.608334,22.68351,7.862012,40.01075,59.99211
1.625000,22.71661,7.861460,39.98972,60.01075
1.641666,22.74795,7.861192,40.00275,59.99574
1.658333,22.78011,7.860778,40.00802,59.99975
1.675000,22.81287,7.860220,39.99554,60.01110
1.691667,22.84517,7.860064,39.99270,59.99831
1.708334,22.87920,7.859760,40.00710,59.99202
1.725000,22.91156,7.859308,40.00387,60.00317
1.741666,22.94588,7.858862,39.99472,60.00102
1.758334,22.97640,7.858662,40.00977,60.00618
1.775000,23.00852,7.858438,39.99708,59.99970
1.791666,23.04070,7.858138,39.99944,59.99878
1.808333,23.07447,7.857562,39.99712,60.00644
1.825000,23.10731,7.857288,40.00671,59.99399
1.841667,23.13919,7.856960,39.99402,59.98770
1.858334,23.17158,7.856510,39.99037,60.01078
1.875000,23.20410,7.855986,40.01223,59.98870
1.891666,23.23634,7.855294,39.99359,60.00761
1.908333,23.26690,7.854765,39.99822,59.99760
1.925000,23.29894,7.854360,40.00402,59.99831
1.941667,23.33062,7.854161,40.00278,60.00202
1.958334,23.36268,7.853855,39.99013,60.01008
1.975000,23.39642,7.853374,40.01694,60.00801
1.991666,23.42557,7.852949,39.99406,59.99668
2.008334,23.45828,7.852520,40.00595,60.00464
2.025000,23.49268,7.851956,39.99835,59.99365
2.041667,23.52476,7.851421,39.98872,59.99756
2.058334,23.55680,7.851030,40.00742,60.01682
2.075000,23.58828,7.850398,39.99926,59.99340
2.091667,23.62094,7.850182,40.00403,59.99020
2.108334,23.65375,7.849728,39.99297,60.00666
2.125000,23.68553,7.849214,40.01009,59.99520
2.141666,23.71706,7.848909,39.99540,60.00274
2.158333,23.74995,7.848624,39.99016,60.00066
2.175000,23.78170,7.847891,40.00872,60.00206
2.191666,23.81384,7.847693,40.00284,59.99163
2.208333,23.84736,7.847504,39.98679,60.00772
2.225000,23.87726,7.847379,40.01010,59.99285
2.241666,23.91252,7.846759,40.00395,59.99809
2.258334,23.94220,7.846262,39.99115,60.00280
2.275000,23.97590,7.845707,40.00382,60.00438
2.291667,24.00878,7.845228,40.00180,59.99623
2.308334,24.04053,7.844945,39.99055,59.98701
2.325000,24.07195,7.844631,40.00538,60.01300
2.341667,24.10545,7.844312,40.00321,59.98896
2.358334,24.13630,7.844034,39.99689,60.00700
2.375000,24.17178,7.843629,39.99882,60.00156
2.391666,24.20247,7.843238,40.00565,60.00218
2.408333,24.23630,7.842949,39.99481,59.99906
2.425000,24.26840,7.842431,39.99727,60.00476
2.441666,24.30066,7.841856,40.00774,60.00331
2.458333,24.33540,7.841452,39.99851,59.99250
2.475000,24.36800,7.840997,39.99917,60.00324
2.491666,24.39991,7.840426,40.00131,59.99666
2.508334,24.43294,7.839868,39.99850,59.99766
2.525000,24.46277,7.839414,40.00027,60.00164
2.541667,24.49600,7.839406,39.99906,60.00132
2.558334,24.52954,7.838921,40.00068,59.99808
2.575000,24.56052,7.838407,39.98928,60.00317
2.591667,24.59260,7.837856,40.00844,60.00206
2.608334,24.62617,7.837574,40.00788,59.99698
2.625000,24.65920,7.836810,39.99162,60.00599
2.641666,24.68982,7.836842,39.99672,59.99409
2.658333,24.72371,7.836649,39.99840,59.99604
2.675000,24.75444,7.835805,40.00747,59.98705
2.691666,24.78872,7.835556,39.99872,59.99944
2.708333,24.82136,7.835306,39.99780,60.00582
2.725000,24.85711,7.834780,39.99886,59.98882
2.741666,24.88943,7.834314,39.99845,60.00215
2.758334,24.92043,7.833613,40.00445,60.01289
2.775000,24.95229,7.833261,39.99948,60.01963
2.791667,24.98476,7.832056,39.99847,59.99000
2.808334,25.01766,7.831138,39.99945,60.00921
2.825000,25.05070,7.831250,40.01180,59.98981
2.841667,25.08430,7.831222,39.99037,59.99570
2.858334,25.11526,7.831413,39.99866,60.00460
2.875000,25.14715,7.831997,40.00073,59.99468
2.891666,25.17991,7.831448,39.98994,59.98380
2.908333,25.21474,7.830392,40.00772,60.00675
2.925000,25.24762,7.829712,40.00295,59.98293
2.941666,25.27891,7.829282,39.99303,60.00662
2.958333,25.31140,7.828687,39.99760,60.01195
2.975000,25.34221,7.828043,40.00892,59.99125
2.991666,25.37608,7.827622,39.99506,59.99482
3.008334,25.40906,7.827259,39.99834,60.00700
3.025000,25.44302,7.826700,40.00944,60.00005
3.041667,25.47360,7.826313,39.99700,59.99873
3.058334,25.50893,7.825821,39.99106,60.01016
3.075000,25.54148,7.825544,40.00743,59.99712
3.091667,25.57298,7.825150,40.00610,59.99350
3.108334,25.60970,7.824265,39.98514,59.99817
3.125000,25.64144,7.823853,40.00863,60.00080
3.141666,25.67474,7.823516,39.99878,59.99936
3.158333,25.70597,7.823043,39.99772,60.01130
3.175000,25.73656,7.822626,39.99911,60.00129
3.191666,25.77024,7.822470,40.00299,59.99518
3.208333,25.80406,7.822194,40.00125,60.00732
3.225000,25.83624,7.821924,39.99292,60.00660
3.241666,25.86907,7.821286,40.01638,59.99819
3.258334,25.90022,7.820918,39.99016,59.98992
3.275000,25.93340,7.820531,40.00117,60.00706
3.291667,25.96627,7.820024,39.99940,60.00262
3.308334,25.99989,7.819403,40.00664,59.99732
3.325000,26.03154,7.819146,39.99744,59.99873
3.341667,26.06490,7.818687,39.99882,60.00630
3.358333,26.10049,7.818250,40.00062,59.98494
3.375000,26.12894,7.817636,39.98960,60.00846
3.391667,26.16168,7.816938,40.01395,59.99158
3.408333,26.19534,7.816464,39.99347,59.99798
3.425000,26.22741,7.816178,39.99540,59.99650
3.441666,26.26246,7.815712,40.00074,60.00799
3.458333,26.29419,7.815232,40.01502,59.99356
3.475000,26.32912,7.814768,39.99329,60.00181
3.491666,26.36291,7.814355,39.99930,60.00130
3.508334,26.39632,7.813892,39.99776,60.01680
3.525000,26.42820,7.813061,40.00244,59.99856
3.541667,26.46036,7.812518,39.99402,60.00400
3.558334,26.49191,7.812150,40.01092,59.99825
3.575000,26.52384,7.811578,39.99127,59.99967
3.591667,26.55688,7.811181,39.99476,59.99212
3.608333,26.58806,7.810826,40.01006,60.00929
3.625000,26.62108,7.810384,39.99968,59.99135
3.641667,26.65518,7.809815,39.99422,60.00492
3.658333,26.68738,7.809490,39.99426,60.00000
3.675000,26.72316,7.809316,40.01409,59.99814
3.691666,26.75520,7.809230,39.99214,60.00370
3.708333,26.78588,7.808464,40.00306,60.00488
3.725000,26.81863,7.808007,40.00747,59.99459
3.741666,26.85272,7.807622,39.98669,59.99652
3.758334,26.88625,7.807103,40.00017,59.99626
3.775000,26.92034,7.806640,40.00523,59.98429
3.791667,26.95392,7.806189,39.99649,59.99652
3.808334,26.98488,7.805805,40.00226,60.00220
3.825000,27.01705,7.805108,39.99988,60.00791
3.841667,27.05154,7.804316,40.00250,59.99936
3.858333,27.08534,7.804184,39.99109,60.01088
3.875000,27.11716,7.803730,40.00665,60.01057
3.891667,27.15183,7.803409,40.00329,60.00790
3.908333,27.18380,7.803028,39.98955,59.98198
3.925000,27.21670,7.802553,40.00416,59.99234
3.941666,27.25309,7.801981,40.00598,59.99026
3.958333,27.28655,7.801321,39.99002,59.99665
3.975000,27.31781,7.800630,40.00287,60.00789
3.991666,27.35068,7.799939,40.00434,60.00054
4.008333,27.38634,7.799125,39.99350,60.00015
4.025000,27.41865,7.798690,40.00608,60.00586
4.041666,27.44855,7.798613,40.00030,60.00149
4.058334,27.48350,7.798211,40.00534,59.99350
4.075000,27.51620,7.797724,39.98800,60.01680
4.091667,27.54945,7.797393,40.01562,59.99976
4.108333,27.58230,7.796708,39.98570,59.99820
4.125000,27.61604,7.796155,39.99783,60.00682
4.141667,27.64869,7.795880,40.01798,60.00000
4.158333,27.68040,7.795571,39.98974,59.99861
4.175000,27.71328,7.794910,39.99768,59.99656
4.191666,27.74609,7.794332,40.00411,60.00538
4.208334,27.77882,7.793680,40.00560,59.99257
4.225000,27.81350,7.793259,39.98738,60.00117
4.241667,27.84704,7.792838,40.00486,60.00516
4.258333,27.88058,7.792193,40.00586,59.99682
4.275000,27.91390,7.791610,39.99264,60.00060
4.291666,27.94550,7.791181,40.00286,59.99740
4.308334,27.97882,7.790520,40.00455,60.00328
4.325000,28.00985,7.790045,39.99730,59.99932
4.341667,28.04098,7.789722,39.99274,60.00230
4.358333,28.07724,7.788986,40.01716,59.99858
4.375000,28.11123,7.788632,39.99756,59.99297
4.391667,28.14442,7.788018,39.99461,60.00772
4.408333,28.17871,7.787835,40.00047,59.97967
4.425000,28.21154,7.787657,39.99141,59.99732
4.441666,28.24546,7.787112,40.00922,60.00313
4.458334,28.27799,7.786656,40.00138,60.01094
4.475000,28.30744,7.785864,39.99820,59.99418
4.491667,28.34048,7.784936,39.99634,60.00743
4.508333,28.37454,7.783960,40.00368,60.00035
4.525000,28.40816,7.783528,40.00394,60.00400
4.541666,28.44192,7.783442,39.99955,59.99590
4.558334,28.47300,7.782708,39.99741,60.00666
4.575000,28.50610,7.782170,39.99981,59.99985
4.591667,28.54056,7.782166,39.99364,59.99184
4.608333,28.57641,7.781806,40.00713,60.00361
4.625000,28.60605,7.781005,40.00086,59.99666
4.641667,28.64030,7.780293,39.99235,59.99374
4.658333,28.67524,7.779681,40.00603,59.99102
4.675000,28.70884,7.779470,40.00255,60.00720
4.691666,28.74085,7.779108,39.99183,59.99550
4.708334,28.77438,7.778535,39.99845,60.00344
4.725000,28.80946,7.777725,40.00381,60.00215
4.741667,28.83888,7.777251,40.00110,59.99318
4.758333,28.87148,7.776514,39.99850,59.99360
4.775000,28.90669,7.776068,40.00217,60.00459
4.791666,28.94171,7.775640,39.98940,60.00260
4.808334,28.97531,7.775016,40.00254,60.00402
4.825000,29.00785,7.774247,39.99951,59.99272
4.841667,29.04064,7.773682,40.00811,60.01399
4.858333,29.07223,7.773368,39.99824,60.00376
4.875000,29.10496,7.773040,40.00723,60.00774
4.891667,29.13889,7.772638,39.99874,59.99343
4.908333,29.17345,7.771905,39.99874,59.99820
4.925000,29.20723,7.771144,40.00294,60.00188
4.941666,29.23886,7.770838,39.99915,60.00050
4.958334,29.27076,7.770472,39.99820,60.00018
4.975000,29.30388,7.769850,40.00257,59.99882
4.991667,29.33592,7.769266,39.99694,60.01470
5.008333,29.37100,7.768938,39.99334,59.98669
5.025000,29.40503,7.768456,40.00303,60.00226
5.041666,29.43890,7.767696,40.00833,59.99996
5.058334,29.47125,7.767082,39.98724,59.99580
5.075000,29.50662,7.766611,40.00144,59.99716
5.091667,29.53840,7.766132,40.01175,59.99955
5.108333,29.57124,7.765708,40.00014,59.99678
5.125000,29.60606,7.764920,39.98997,59.99690
5.141667,29.63710,7.764344,40.00263,60.00112
5.158333,29.67154,7.764099,40.00092,59.99674
5.175000,29.70299,7.763460,39.99775,59.99930
5.191666,29.73518,7.762680,40.00058,60.00613
5.208334,29.76919,7.762194,40.00079,59.99006
5.225000,29.80080,7.761860,39.99362,59.99590
5.241667,29.83650,7.761608,40.00135,59.99652
5.258332,29.87102,7.760705,40.00889,60.00784
5.275000,29.90395,7.759930,39.99609,59.99446
5.291666,29.93600,7.759568,39.99874,59.99972
5.308334,29.97072,7.759210,40.00170,60.00836
5.325000,30.00343,7.758561,40.00091,59.99742
5.341668,30.03920,7.758162,40.00143,60.00924
5.358332,30.07194,7.757447,39.99938,60.00046
5.375000,30.10058,7.756695,39.99739,60.00644
5.391668,30.13707,7.756028,39.99233,60.00524
5.408332,30.17142,7.755555,40.00630,60.00387
5.425000,30.20273,7.754839,40.00261,59.99861
5.441666,30.23627,7.754087,39.99674,60.00074
5.458334,30.26753,7.754006,40.00674,59.99465
5.475000,30.30342,7.753568,40.00085,60.00060
5.491668,30.33597,7.753040,39.99844,60.00340
5.508332,30.36867,7.752300,39.99910,59.99312
5.525000,30.40428,7.751636,40.00475,60.00836
5.541666,30.43639,7.751022,39.99150,60.00140
5.558334,30.47090,7.750428,40.00648,59.99441
5.575000,30.50012,7.750092,40.00076,60.00724
5.591668,30.53412,7.749761,39.98964,59.99324
5.608332,30.56797,7.748939,39.99404,59.99726
5.625000,30.60300,7.748126,40.01118,59.99734
5.641668,30.63733,7.747472,39.99967,59.99152
5.658332,30.66900,7.746835,39.99654,59.99500
5.675000,30.70082,7.746202,40.00250,59.99308
5.691666,30.73472,7.745899,39.99686,59.99990
5.708334,30.76772,7.745346,39.99378,60.00254
5.725000,30.80158,7.744936,40.00270,60.00748
5.741668,30.83582,7.744800,40.00350,59.99584
5.758332,30.86798,7.744222,39.99735,59.99074
5.775000,30.90252,7.743400,40.00761,60.01170
5.791666,30.93722,7.742990,40.00303,59.99937
5.808334,30.97060,7.742356,39.98909,59.99771
5.825000,31.00424,7.741550,40.00567,60.00206
5.841668,31.03646,7.740503,39.99642,59.98829
5.858332,31.06904,7.740014,39.99432,60.00850
5.875000,31.10259,7.739761,39.99850,59.99535
5.891668,31.13545,7.739401,40.01216,60.00828
5.908332,31.16846,7.738848,39.99153,60.00108
5.925000,31.20061,7.737994,39.98820,59.99818
5.941666,31.23501,7.737280,40.02206,59.99598
5.958334,31.26780,7.736758,39.99530,60.01171
5.975000,31.30344,7.736111,39.99363,59.99585
5.991668,31.33737,7.735500,40.00856,60.00754
6.008332,31.37076,7.735108,40.00171,60.00374
6.025000,31.40482,7.734434,40.00032,59.99398
6.041666,31.43755,7.733782,40.00027,60.00356
6.058334,31.46886,7.733320,40.00126,60.00862
6.075000,31.50134,7.732739,39.98912,59.99442
6.091668,31.53665,7.732232,40.01173,59.99988
6.108332,31.56973,7.731562,39.99706,59.99658
6.125000,31.60332,7.731026,39.99436,60.00762
6.141668,31.63651,7.730348,40.00368,60.00768
6.158332,31.66791,7.730145,40.00628,59.99195
6.175000,31.70048,7.729570,40.01220,59.99896
6.191666,31.73452,7.728994,39.98163,60.01260
6.208334,31.76598,7.728285,39.99450,59.99470
6.225000,31.79870,7.727618,40.00917,59.99304
6.241668,31.83416,7.726974,40.00038,59.99551
6.258332,31.86902,7.726321,39.99646,60.00628
6.275000,31.90172,7.726078,39.99761,59.99226
6.291666,31.93707,7.725428,40.00292,60.00444
6.308334,31.96695,7.724784,40.00678,60.00098
6.325000,32.00022,7.724328,39.99786,59.99810
6.341668,32.03306,7.723828,39.98565,59.99375
6.358332,32.06735,7.723410,40.00417,60.00675
6.375000,32.10082,7.722800,40.00947,59.99726
6.391668,32.13306,7.722416,39.99483,59.99956
6.408334,32.16875,7.721802,40.00478,60.00274
6.425000,32.20096,7.721153,40.00175,59.99898
6.441666,32.23236,7.720556,39.99265,59.99582
6.458334,32.26697,7.719820,40.00226,60.00213
6.475000,32.30082,7.719059,40.00398,60.00141
6.491668,32.33422,7.718596,39.99768,60.00056
6.508332,32.36802,7.718084,39.99494,59.99377
6.525000,32.40220,7.717384,40.00223,59.99710
6.541666,32.43465,7.716784,39.99864,59.99765
6.558334,32.46859,7.716470,40.00213,60.00146
6.575000,32.49959,7.716094,39.99857,60.01110
6.591666,32.53337,7.715295,40.00825,59.99804
6.608332,32.56678,7.714520,39.98594,59.99592
6.625000,32.59942,7.714026,40.00316,60.00484
6.641668,32.63266,7.713321,40.00915,60.00650
6.658334,32.66659,7.712938,39.99246,59.99265
6.675000,32.69942,7.712454,39.99720,59.99982
6.691666,32.73305,7.711689,40.01498,59.99670
6.708334,32.76909,7.711093,39.98790,60.00880
6.725000,32.80037,7.710206,39.99931,59.99814
6.741668,32.83257,7.709616,40.01028,60.01084
6.758332,32.86606,7.709296,39.99278,59.99711
6.775000,32.89894,7.708619,39.99754,59.98904
6.791666,32.93030,7.708022,40.00693,59.99918
6.808334,32.96490,7.707368,39.99614,60.00350
6.825000,32.99818,7.707072,39.99578,59.99930
6.841666,33.03193,7.706684,40.00331,59.98952
6.858332,33.06657,7.706150,39.99535,59.98738
6.875000,33.09863,7.705776,40.00004,60.00121
6.891668,33.13262,7.705018,40.00988,60.01190
6.908334,33.16907,7.704326,39.98328,59.99346
6.925000,33.19874,7.703626,39.99720,59.99242
6.941666,33.23370,7.703134,40.01380,60.00678
6.958334,33.26626,7.702556,40.00359,60.00168
6.975000,33.29746,7.702011,39.99100,59.99760
6.991668,33.33413,7.701225,40.00117,60.00585
7.008332,33.36524,7.700842,40.00188,59.99326
7.025000,33.39968,7.700550,40.00005,60.00498
7.041666,33.43381,7.700072,39.99904,60.00341
7.058334,33.47063,7.699301,40.00130,59.99950
7.075000,33.50162,7.698826,39.99278,59.99474
7.091666,33.53386,7.698231,40.00583,59.99989
7.108332,33.56761,7.697437,39.99716,59.99410
7.125000,33.60234,7.696697,40.00400,59.99782
7.141668,33.63426,7.696156,40.00083,60.00090
7.158334,33.66840,7.695842,40.00578,60.00210
7.175000,33.70252,7.695388,39.99646,60.00282
7.191666,33.73537,7.694750,39.99822,60.00217
7.208334,33.76774,7.693892,40.00341,59.99924
7.225000,33.80187,7.693118,39.99352,59.99407
7.241668,33.83326,7.692674,40.00085,60.00434
7.258332,33.86536,7.692361,40.00624,60.01257
7.275000,33.89902,7.691868,39.99473,59.98368
7.291666,33.93260,7.691379,39.99288,60.00849
7.308334,33.96543,7.690688,40.00769,60.00383
7.325000,33.99832,7.689828,40.00696,60.01007
7.341666,34.03086,7.689128,39.98987,59.99222
7.358332,34.06317,7.688911,39.99974,60.00142
7.375000,34.09955,7.688452,40.00878,60.00570
7.391668,34.13111,7.687864,40.00063,60.00471
7.408334,34.16330,7.687445,39.99030,59.99732
7.425000,34.19890,7.686841,40.00576,59.99444
7.441666,34.23040,7.686413,39.99639,59.98598
7.458334,34.26754,7.685634,39.99268,60.00219
7.475000,34.29982,7.684780,40.01714,59.99485
7.491668,34.33164,7.684692,39.98766,59.99776
7.508332,34.36530,7.684172,39.99772,60.00780
7.525000,34.40061,7.683450,40.00631,59.99706
7.541666,34.43220,7.682897,39.99682,59.99006
7.558334,34.46689,7.682650,40.00136,60.00968
7.575000,34.50110,7.682082,40.00000,60.00603
7.591666,34.53347,7.681369,40.00153,60.00375
7.608332,34.56542,7.680788,39.99638,59.99651
7.625000,34.59785,7.680444,40.00491,60.00747
7.641668,34.63242,7.680030,40.00516,60.01226
7.658334,34.66641,7.679469,39.99891,59.99586
7.675000,34.69882,7.678700,39.99808,59.99384
7.691666,34.73272,7.678262,39.99898,59.99168
7.708334,34.76641,7.678147,39.99208,59.98892
7.725000,34.79834,7.677461,40.00668,59.99750
7.741668,34.83296,7.676625,39.99926,60.00122
7.758332,34.86618,7.676144,39.99544,60.00302
7.775000,34.89820,7.675591,39.99734,60.00325
7.791666,34.93318,7.674895,40.01244,59.99581
7.808334,34.96603,7.674336,39.99675,60.00063
7.825000,34.99866,7.673740,39.99188,59.99104
7.841666,35.03011,7.673225,40.00968,60.01520
7.858332,35.06558,7.672908,39.99808,60.00280
7.875000,35.09982,7.672486,39.99254,60.01093
7.891668,35.13403,7.671666,40.01045,60.00611
7.908334,35.16663,7.671426,40.00302,59.99418
7.925000,35.19958,7.670774,39.99661,60.00042
7.941666,35.23346,7.670310,39.99656,60.00322
7.958334,35.26610,7.669975,40.00576,60.00503
7.975000,35.30084,7.669243,39.98658,59.99621
7.991668,35.33477,7.668776,40.00808,59.99263
8.008332,35.36830,7.668202,40.00717,60.00425
8.025000,35.40026,7.667650,39.99353,60.00274
8.041668,35.43405,7.667426,39.99069,60.00154
8.058334,35.46664,7.666894,40.01270,59.99698
8.075000,35.50128,7.666434,40.00450,60.00149
8.091666,35.53494,7.665988,39.99036,59.99424
8.108334,35.56621,7.665449,40.01056,60.00695
8.125000,35.60174,7.664800,39.99200,59.99311
8.141666,35.63360,7.664148,39.98994,60.00932
8.158334,35.66763,7.663555,40.01203,60.00035
8.175000,35.70056,7.663336,40.00010,59.99305
8.191666,35.73523,7.662861,39.99940,59.99912
8.208332,35.77094,7.662493,39.99667,59.99522
8.225000,35.80150,7.662282,40.00185,60.00724
8.241668,35.83695,7.661526,39.99296,59.98964
8.258332,35.87110,7.660890,40.00440,59.99120
8.275000,35.90556,7.660509,40.00532,60.00009
8.291668,35.93827,7.660156,39.99216,59.99868
8.308334,35.96945,7.659503,39.99171,60.00112
8.325000,36.00389,7.659061,40.01454,60.00028
8.341666,36.03652,7.658486,39.98962,59.99040
8.358334,36.06988,7.658081,40.00227,60.00606
8.375000,36.10340,7.657581,40.00669,60.00387
8.391666,36.13550,7.656874,40.00005,60.00653
8.408334,36.16872,7.656549,39.98645,60.00268
8.425000,36.20107,7.656250,40.01340,60.00839
8.441666,36.23770,7.655938,40.00470,59.99964
8.458332,36.27031,7.655457,39.98608,60.00343
8.475000,36.30175,7.654845,40.01008,59.99666
8.491668,36.33888,7.654081,39.99839,59.99695
8.508332,36.37094,7.653594,39.99779,60.00374
8.525000,36.40510,7.653214,40.00406,60.00095
8.541668,36.43774,7.652564,40.00306,59.99956
8.558334,36.47110,7.652210,39.99722,60.00757
8.575000,36.50358,7.652066,40.00058,59.99207
8.591666,36.53662,7.651655,40.00398,59.99732
8.608334,36.56892,7.651261,39.99068,60.00190
8.625000,36.60004,7.650616,39.99740,60.00503
8.641666,36.63581,7.649924,40.01268,59.99879
8.658334,36.66812,7.649548,39.98780,59.99750
8.675000,36.69958,7.648984,40.00179,59.99145
8.691666,36.73470,7.648560,40.00392,59.99722
8.708332,36.76580,7.648210,40.00110,60.01320
8.725000,36.79948,7.647764,39.99771,60.00030
8.741668,36.83461,7.647580,39.99834,59.99301
8.758332,36.86678,7.647284,40.00442,59.99742
8.775000,36.90297,7.646731,39.99381,60.00090
8.791668,36.93380,7.646228,39.99789,60.00430
8.808334,36.96831,7.645626,40.00634,59.99500
8.825000,37.00140,7.645398,39.99514,59.99549
8.841666,37.03508,7.644712,40.00433,59.99679
8.858334,37.06906,7.644184,40.00084,60.00945
8.875000,37.10150,7.643872,39.99372,59.99600
8.891666,37.13203,7.643524,39.99709,59.99382
8.908334,37.16599,7.643129,40.00610,59.99610
8.925000,37.20184,7.642466,40.00062,60.00479
8.941666,37.23336,7.642020,39.99188,59.99392
8.958332,37.26740,7.641816,40.00320,60.00598
8.975000,37.29932,7.641332,40.01400,60.00132
8.991668,37.33354,7.640840,39.99002,60.00575
9.008332,37.36714,7.640249,40.00170,60.00450
9.025000,37.40394,7.639848,40.00240,60.00664
9.041668,37.43633,7.639572,39.99079,59.98965
9.058334,37.46656,7.639291,40.00616,59.99859
9.075000,37.50049,7.639048,40.00832,59.99634
9.091666,37.53230,7.638568,39.99206,59.99578
9.108334,37.56695,7.638208,39.99707,59.99492
9.125000,37.60075,7.637738,40.00210,59.99949
9.141666,37.63372,7.637374,39.99180,59.99470
9.158334,37.66845,7.636846,40.00781,60.00738
9.175000,37.70046,7.636676,40.00422,60.01044
9.191666,37.73525,7.636182,39.99911,60.00195
9.208332,37.76760,7.635874,39.99017,59.99729
9.225000,37.80118,7.635460,40.01594,60.00618
9.241668,37.83340,7.634980,39.99561,60.01040
9.258332,37.86703,7.634757,39.99040,59.98479
